id,user_id,hotel_id,comment,status
215,100000639595446,1571612506414924,"We have been do impressed with Wendy, she is so helpful and her friendly approach and expertise is second to none. She will go out of her way to find you exactly what you require so much so we wouldn't think of going to anyone else, we trust her implicitly. If you want to go to Mojacar then go to see Wendy, she won't disappoint",1
216,100000649475253,208028559374693,Quá đẹp và tuyệt chỉ thế thôi!,1
217,100000663769623,314116302056158,Very good,1
218,100000666941649,1599698676934263,"Phòng sạch sẽ yên tĩnh, nhân viên rất dễ thương",1
219,100000667467230,323940062859,A wonderful place.,1
220,100000677735062,1017426538344910,Tìm thấy cảm giác được Yêu tại nơi đây,1
221,100000683538400,323940062859,Enjoyable experience,1
222,100000684983522,937116373005616,Everything was perfect! The staff is 5 stars. I wish you all the best! Greetings from Portugal!,1
223,100000687990311,640106616045345,Very good hotel on a very good location in Hanoi. Breakfast was perfect. Staff especially Kili was very friendly and helpful with a lot of things. Thanks for everything during our stay in the Golden Palace,1
224,100000692580727,1571612506414924,"Thank you Wendy &amp; Linda, just come back from a break away in the Cortijo Grande Valley, gorgeous property and a faultless and easy booking, great service, will definitely book with you again and will certainly recommend you to family and friends.",1
225,100000695162458,323940062859,Would really love to go again,1
